Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Bulk Edit General
3.3,admin,"From the ""Journals vs. Articles"" assets on the left choose Journals and from ""in DOAJ?"" choose ""False"" (note how many journals are not in DOAJ for future reference)","* Correct restricted search results appear, note the summary number of journals found  for future reference
"
3.4,admin,"From Bulk Edit Records ""Select action..."" pull down choose ""withdraw from DOAJ"" and click ""Submit"" button","* Pop up appears: ""This operation will affect #nr journals"" (#nr is number of journals, the same as number of journals in search result from 2.3.1)
* Options ""Cancel"" and ""OK"" is available
"
3.5,admin,"Click ""Cancel"" on pop up","* The operation is cancelled
"
3.6,admin,"Click ""Submit"" button again",
3.7,admin,"Click ""OK"" on the pop-up","* Message banner appears on the top of the page that includes:
* Numer of journals queued for edit
* Link to the background job interface
"
3.8,admin,Click on the link provided to see the background job that was created,"* The set_in_doaj background job is created
"
3.9,admin,"Click ""More Information""","* set_in_doaj__journal_ids parameter contains correct number of journals' ids and set_in_doaj__in_doaj -- true parameter is set
"
3.10,admin,Close the background jobs window,
3.11,admin,Click dismiss on the message banner,"* Banner disappears
"

4,,Journal: edit metadata...
4.1,admin,Go to the admin applications search page at /admin/admin_site_search,
4.2,admin,"Restrict search journals to smaller number (eg. choose only ""Subject"" -> ""Technology"" and ""Country""-> ""Spain"")",
4.3,admin,"From the ""Journals vs. Articles"" assets on the left choose Journals","* Correct restricted search results appear, note the summary number of journals found for future reference
"
4.4,admin,"From Bulk Edit Records ""Select action..."" pull down choose ""Journal: edit metadata ...""","* Form unfold below the pull down that includes fields: ""Publisher"", ""Platform, Host or Aggregator"", ""Country"", ""Owner"", ""Contact Name"", ""Contact's email address"", ""Qualifies for Seal""
"
4.5,admin,Input value for one or many of the fields,
4.6,admin,"Click ""Submit"" button","* Pop up appears: ""This operation will affect #nr journals"" (#nr is number of journals, the same as number of journals in search result from 2.3.1)
* Options ""Cancel"" and ""OK"" is available
"
4.7,admin,"Click ""Cancel"" on pop up","* The operation is cancelled
"
4.8,admin,"Click ""Submit"" button again",
4.9,admin,"Click ""OK"" on the pop-up","* Message banner appears on the top of the page that includes:
* Numer of journals queued for edit
* Link to the background job interface
"
4.10,admin,Click on the link provided to see the background job that was created,"* The set_in_doaj background job is created
"
4.11,admin,"Click ""More Information""","* set_in_doaj__journal_ids parameter contains correct number of journals' ids and set_in_doaj__in_doaj -- true parameter is set
"
4.12,admin,Close the background jobs window,
4.13,admin,Click dismiss on the message banner,"* Banner disappears
"

5,,Journal: Assign to editor group
5.1,admin,Go to the admin applications search page at /admin/admin_site_search,
5.2,admin,"Restrict search journals to smaller number (eg. choose only ""Subject"" -> ""Technology"" and ""Country""-> ""Spain"")",
5.3,admin,"From the ""Journals vs. Articles"" assets on the left choose Journals","* Correct restricted search results appear, note the summary number of journals found for future reference
"
5.4,admin,"From Bulk Edit Records ""Select action..."" pull down choose ""Journal: assign to editor group ...""","* ""Enter new editor group"" pull down appears below
"
5.5,admin,Choose editor group,
5.6,admin,"Click ""Submit"" button","* Pop up appears: ""This operation will affect #nr journals"" (#nr is number of journals, the same as number of journals in search result from 2.3.1)
* Options ""Cancel"" and ""OK"" is available
"
5.7,admin,"Click ""Cancel"" on pop up","* The operation is cancelled
"
5.8,admin,"Click ""Submit"" button again",
5.9,admin,"Click ""OK"" on the pop-up","* Message banner appears on the top of the page that includes:
* Numer of journals queued for edit
* Link to the background job interface
"
5.10,admin,Click on the link provided to see the background job that was created,"* The journal_bulk_edit background job is created
"
5.11,admin,"Click ""More Information""","* set_in_doaj__journal_ids parameter contains correct number of journals' ids and journal_bulk_edit__replacement_metadata -- {""editor_group"": ""<name>""} parameter is set - where <name> is the name of editors group you've chosen
"
5.12,admin,Close the background jobs window,
5.13,admin,Click dismiss on the message banner,"* Banner disappears
"

6,,Journal: Add a note
6.1,admin,Go to the admin applications search page at /admin/admin_site_search,
6.2,admin,"Restrict search journals to smaller number (eg. choose only ""Subject"" -> ""Technology"" and ""Country""-> ""Spain"")",
6.3,admin,"From the ""Journals vs. Articles"" assets on the left choose Journals","* Correct restricted search results appear, note the summary number of journals found for future reference
"
6.4,admin,"From Bulk Edit Records ""Select action..."" pull down choose ""Journal: Add a note ...""","* ""Type note here..."" text area appears below the pull-down
"
6.5,admin,"Add any note to the ""Type note here... "" text area",
6.6,admin,"Click ""Submit"" button","* Pop up appears: ""This operation will affect #nr journals"" (#nr is number of journals, the same as number of journals in search result from 2.3.1)
* Options ""Cancel"" and ""OK"" is available
"
6.7,admin,"Click ""Cancel"" on pop up","* The operation is cancelled
"
6.8,admin,Repeat step 2.4,
6.9,admin,"Click ""OK""","* Message banner appears on the top of the page that includes:
* Numer of journals queued for edit
* Link to the background job interface
"
6.10,admin,Click on the link provided to see the background job that was created,"* The journal_bulk_edit background job is created
"
6.11,admin,"Click ""More Information""","* set_in_doaj__journal_ids parameter contains correct number of journals' ids and journal_bulk_edit__note parameter is set to your note
"
6.12,admin,Close the background jobs window,
6.13,admin,Click dismiss on the message banner,"* Banner disappears
"

7,,Journal: Delete records
7.1,admin,Go to the admin applications search page at /admin/admin_site_search,
7.2,admin,Choose Delete records,"* An message appears saying: You need to select an option in the ""Journals vs. Articles facet"" to use this option
"
7.3,admin,Select Journals from the facet,"* The message disappears
"
7.4,admin,"Restrict search journals to smaller number (eg. choose only ""Subject"" -> ""Technology"" and ""Country""-> ""Spain"")",
7.5,admin,"From the ""Journals vs. Articles"" assets on the left choose Journals",
7.6,admin,Choose the ISSN of one journal and enter it as a search term,"* You should have only one journal as your search result
"
7.7,admin,"From Bulk Edit Records ""Select action..."" pull down choose ""Delete records ...""",
7.8,admin,Click Submit,"* Warning message appears asking if you sure and shows you OK and Cancel button
"
7.9,admin,Click Cancel,"* Message disappears
"
7.10,admin,Click Submit and click OK,"* Warning message appears showing the number of journals and articles affected
"
7.11,admin,Click OK,"* Message appears showing number of journals and articles queued for edit.
* A link to the background job is available
* Link to dismiss
"
7.12,admin,Click on the link provided to see the background job that was created,"* The journal_bulk_delete background job is created
"
7.13,admin,"Click ""More Information""","* journal_bulk_delete shows the the correct number of journal IDs you deleted. (Should be one if you followed the steps above). selection_query shows the ISSN of the journal.
"
7.14,admin,Close the background jobs window,
7.15,admin,Click dismiss on the message banner,"* Banner disappears
"

