Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Upload a file which is not XML
6.4,publisher,"Select ""Choose file"" and select the test resource file ""withdrawn_journal.xml"" from the DOAJ folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/withdrawn_journal.xml",
6.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
6.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
6.7,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the journal has been withdrawn from DOAJ and therefore the article cannot be accepted
"

7,,Upload a file containing ISSNs not previously seen in DOAJ
7.1,publisher,"Ensure that the ISSN ""1111-1111"" is attached to a journal owned by the publisher and ISSN ""5555-5555"" is not present in any journal in DOAJ.",
7.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
7.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
7.4,publisher,"Select ""Choose file"" and select the test resource file ""unmatched_issn.xml""  from the DOAJ folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/unmatched_issn.xml",
7.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
7.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
7.7,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the ISSN ""5555-5555"" does not appear in DOAJ.
"

8,,Upload a file containing ISSNs erroneously shared with another account
8.1,publisher,"Ensure that the ISSN ""1111-1111"" is attached a journal owned by the publisher and ISSN ""2222-2222"" is attached to the same journal and also to another journal not owned by the publisher",
8.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
8.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
8.4,publisher,"Select ""Choose file"" and select the test resource file ""shared_issn.xml""  from the DOAJ folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/shared_issn.xml",
8.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
8.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
8.7,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the ISSN ""2222-2222"" is shared with another user
"

9,,Successfully upload a file containing a new article
9.1,publisher,"Ensure that the publisher account owns a journal with Print ISSN ""1111-1111"" and E-ISSN ""2222-2222"", and these are not attached to any other journals and that these journal does not contain ""Success"" or ""Update"" articles from previous tests.",
9.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
9.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
9.4,publisher,"Select ""Choose file"" and select the test resource file ""successful.xml""  from the DOAJ folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/successful.xml",
9.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
9.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (1 new, 0 updated)""
"
9.7,publisher,Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222),"* The list of articles should contain an article with the title ""Success!""
"

10,,Successfully upload a file containing an updated article
10.1,publisher,Run through test 7 to upload a new article,
10.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
10.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
10.4,publisher,"Select ""Choose file"" and select the test resource file ""update.xml"" from the DOAJ folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/update.xml",
10.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
10.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (0 new, 1 updated)""
"
10.7,publisher,Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222),"* The list of articles should contain an article with the title ""Updated!"", and the previous version (""Success!"") should be gone
"

11,,Successfully upload a file by reference containing a new or updated article
11.1,publisher,Run through test 7 and 8 to upload and update a new article,
11.2,publisher,Make sure there are no other articles in the databse with the DOI: 10.1234/100. Delete those first.,
11.3,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
11.4,publisher,"In the box ""Provide a URL where we can download the XML"", enter the URL below

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/successful.xml",
11.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating that the file reference was successfully received
* Your file is shown in the ""History of uploads"" with status ""pending""
"
11.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (1 new, 0 updated)"" or ""1 articles imported (0 new, 1 updated)"".
"
11.7,publisher,Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222),"* The list of articles should contain an article with the title ""Success!""
"

12,,Upload a file containing author's ORCID iD in a wrong format
12.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
12.2,publisher,"Select ""Choose file"" and select the test resource file ""orcid_id_invalid.xml""

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/orcid_id_invalid.xml",
12.3,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating an error has occurred
* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a ""Unable to validate document with identified schema"" entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
12.4,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the ORCID iD is not in the correct format
"

13,,Upload a file containing 2 identical ISSNs
13.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
13.2,publisher,"Select ""Choose file"" and select the test resource file ""identical_issns.xml""

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/identical_issns.xml",
13.3,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
13.4,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"

14,,Upload a file without ISSN
14.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
14.2,publisher,"Select ""Choose file"" and select the test resource file ""no_issn.xml""

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/DOAJ/no_issn.xml",
14.3,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
14.4,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"

