Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Upload an XML file which does not meet the Crossref schema
5.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
5.7,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the ISSN ""5555-5555"" does not appear in DOAJ.
"

6,,Upload a file containing ISSNs erroneously shared with another account
6.1,publisher,"Ensure that the ISSN ""1111-1111"" is attached a journal owned by the publisher and ISSN ""5555-5555"" is attached to the same journal and also to another journal not owned by the publisher",
6.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
6.3,publisher,"Choose ""Crossref 4.4.2 XML"" from ""Format of the file"" dropdown",
6.4,publisher,"Select ""Choose file"" and select the test resource file ""shared_issn.xml""  from the Crossref 4.4.2 test resources folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/Crossref/4.4.2/shared_issn.xml",
6.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload
* Your file is shown in the ""History of uploads"" with status ""pending""
"
6.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
6.7,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the ISSN ""5555-5555"" is shared with another user
"

7,,Successfully upload a file containing a new article
7.1,publisher,"Ensure that the publisher account owns a journal with Print ISSN ""1111-1111"" and E-ISSN ""2222-2222"", and these are not attached to any other journals and that these journal does not contain ""Success"" or ""Update"" articles from previous tests.",
7.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
7.3,publisher,"Choose ""Crossref 4.4.2 XML"" from ""Format of the file"" dropdown",
7.4,publisher,"Select ""Choose file"" and select the test resource file ""successful.xml""  from the Crossref 4.4.2 test resources folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/Crossref/4.4.2/successful.xml",
7.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload
* Your file is shown in the ""History of uploads"" with status ""pending""
"
7.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (1 new, 0 updated)""
"
7.7,publisher,Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222),"* The list of articles should contain an article with the title ""Success!""
"

8,,Successfully upload a file containing an updated article
8.1,publisher,Run through test 7 to upload a new article,
8.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
8.3,publisher,"Choose ""Crossref 4.4.2 XML"" from ""Format of the file"" dropdown",
8.4,publisher,"Select ""Choose file"" and select the test resource file ""update.xml"" from the Crossref 4.4.2 test resources folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/Crossref/4.4.2/update.xml",
8.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload
* Your file is shown in the ""History of uploads"" with status ""pending""
"
8.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (0 new, 1 updated)""
"
8.7,publisher,Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222),"* The list of articles should contain an article with the title ""Updated!"", and the previous version (""Success!"") should be gone
"

9,,Successfully upload a file by reference containing a new or updated article
9.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
9.2,publisher,"In the box ""Provide a URL where we can download the XML"", enter the URL below

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/Crossref/4.4.2/successful.xml",
9.3,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating that the file reference was successfully received
* Your file is shown in the ""History of uploads"" with status ""pending""
"
9.4,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (0 new, 1 updated)"".
"
9.5,publisher,Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222),"* The list of articles should contain an article with the title ""Success!""
"

10,,Successfully upload a file containing article with html tag in title
10.1,publisher,"Ensure that the publisher account owns a journal with Print ISSN ""1111-1111"" and E-ISSN ""2222-2222"", and these are not attached to any other journals and that these journal does not contain ""Success"" or ""Update"" articles from previous tests.",
10.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
10.3,publisher,"Choose ""Crossref 4.4.2 XML"" from ""Format of the file"" dropdown",
10.4,publisher,"Select ""Choose file"" and select the test resource file ""title_with_html_tags.xml""  from the Crossref 4.4.2 test resources folder

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/Crossref/4.4.2/title_with_html_tags.xml",
10.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload
* Your file is shown in the ""History of uploads"" with status ""pending""
"
10.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (1 new, 0 updated)""
"
10.7,publisher,Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222),"* The list of articles should contain an article with the title ""Title with HTML tags <i>escaped</i> and &lt;i&gt;unescaped&lt;/i&gt; ""
"

11,,Upload a file containing 2 identical ISSNs
11.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
11.2,publisher,"Select ""Choose file"" and select the test resource file ""identical_issns.xml""

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/Crossref/4.4.2/identical_issns.xml",
11.3,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
11.4,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"

12,,Upload a file without ISSN
12.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
12.2,publisher,"Select ""Choose file"" and select the test resource file ""no_issn.xml""

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2546_author_retains_copyright_facet/doajtest/xml_upload_test_package/Crossref/4.4.2/no_issn.xml",
12.3,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
12.4,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"

