Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Try uploading without providing a file
9,,Upload a file containing ISSNs erroneously shared with another account
9.1,publisher,"Ensure that the ISSN ""1111-1111"" is attached a journal owned by the publisher and ISSN ""2222-2222"" is attached to the same journal and also to another journal not owned by the publisher",
9.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
9.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
9.4,publisher,"Select ""Choose file"" and select the test resource file ""shared_issn.xml""  from the DOAJ folder",
9.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
9.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
9.7,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the ISSN ""2222-2222"" is shared with another user
"

10,,Successfully upload a file containing a new article
10.1,publisher,"Ensure that the publisher account owns a journal with Print ISSN ""1111-1111"" and E-ISSN ""2222-2222"", and these are not attached to any other journals and that these journal does not contain ""Success"" or ""Update"" articles from previous tests.",
10.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
10.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
10.4,publisher,"Select ""Choose file"" and select the test resource file ""successful.xml""  from the DOAJ folder",
10.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
10.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (1 new, 0 updated)""
"
10.7,publisher,Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222),"* The list of articles should contain an article with the title ""Success!""
"

11,,Successfully upload a file containing an updated article
11.1,publisher,Run through test 7 to upload a new article,
11.2,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
11.3,publisher,"Choose ""DOAJ Native XML"" from ""Format of the file"" dropdown",
11.4,publisher,"Select ""Choose file"" and select the test resource file ""update.xml"" from the DOAJ folder",
11.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
11.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (0 new, 1 updated)""
"
11.7,publisher,Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222),"* The list of articles should contain an article with the title ""Updated!"", and the previous version (""Success!"") should be gone
"

12,,Successfully upload a file by reference containing a new or updated article
12.1,publisher,Run through test 7 and 8 to upload and update a new article,
12.2,publisher,Make sure there are no other articles in the databse with the DOI: 10.1234/100. Delete those first.,
12.3,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
12.4,publisher,"In the box ""Provide a URL where we can download the XML"", enter this URL:

https://github.com/DOAJ/doaj/raw/develop/doajtest/xml_upload_test_package/DOAJ/successful.xml",
12.5,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating that the file reference was successfully received
* Your file is shown in the ""History of uploads"" with status ""pending""
"
12.6,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (1 new, 0 updated)"" or ""1 articles imported (0 new, 1 updated)"".
"
12.7,publisher,Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222),"* The list of articles should contain an article with the title ""Success!""
"

13,,Upload a file containing author's ORCID iD in a wrong format
13.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
13.2,publisher,"Select ""Choose file"" and select the test resource file ""orcid_id_invalid.xml""",
13.3,publisher,"Click ""Upload""","* A flash message with appropriate text appears at the top of the screen indicating an error has occurred
* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a ""Unable to validate document with identified schema"" entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"
13.4,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""","* Additional error details are shown, indicating that the ORCID iD is not in the correct format
"

14,,Upload a file containing 2 identical ISSNs
14.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
14.2,publisher,"Select ""Choose file"" and select the test resource file ""identical_issns.xml""",
14.3,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
14.4,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"

15,,Upload a file without ISSN
15.1,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""",
15.2,publisher,"Select ""Choose file"" and select the test resource file ""no_issn.xml""",
15.3,publisher,"Click ""Upload""","* A flash message appears at the top of the screen indicating a successful upload: File uploaded and waiting to be processed. Check back here for updates.(Dismiss)
* Your file is shown in the ""History of uploads"" with status ""pending""
"
15.4,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data).  If the job remains in ""pending"", reload the page until the status changes.","* Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem.
"

