Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script

1,,Search and Navigate
3.9,admin,"Click ""SAVE""","* The journal form is displayed
* A flash message says ""Journal updated""
* The metadata changes and note you added are present
"
3.10,admin,"Click ""Reinstate""","* A flash message alerts you that this operation has been queued for action
* The ""Reinstate"" button has changed to 'Reinstating'
"
3.11,admin,Wait for the action to complete (this should be quite quick in a test environment),
3.12,admin,Reload the edit form page,"* A button now exists to ""Withdraw"" the journal from DOAJ
"
3.13,admin,"Click ""Unlock and Close""",
3.14,admin,Click on the journal title for which you made a continuation,"* You are taken to the Journal ToC
* The preceeding journal you just created is linked near the top under ""Continued by""
"
3.15,admin,Click on the journal title for the succeeding continuation,"* You are taken to the Journal ToC
* There is a link back to the original journal under ""Continues""
"

4,,Link preceeding and succeeding continuations
4.1,admin,"Prepare the following information for the test: choose two journals without continuations, and record their ISSNs",
4.2,admin,Go to the admin journals search at /admin/journals,
4.3,admin,Select one of the journals you have chosen (that does not currently have either preceeding or succeeding continuations),
4.4,admin,"Click ""Edit the journal""",
4.5,admin,"Expand the ""Continuations"" section in the functions panel",
4.6,admin,"In the box ""Continues an older journal with the ISSN(s)"" enter one of the pre-chosen ISSNs",
4.7,admin,"In the box ""Continued by a newer version of the journal with the ISSN(s)"" enter the other pre-chosen ISSN",
4.8,admin,"Check ""Allow save without validation""",
4.9,admin,"Click ""SAVE"" on the application form","* The changes you made have been recorded
"
4.10,admin,"Visit the ToC for the journal you have just updated (which can be done quickly by replacing ""/admin/journal"" in the URL with ""/toc""","* The journals you provided in the application form are now linked under ""Continues"" and ""Continued by""
"
4.11,admin,"Click the ""Continues"" journal","* You are taken to that Journal's ToC
* There is no back-link from this journal to your original journal
"
4.12,admin,"Click ""back"" (twice) in your browser window",
4.13,admin,"Click the ""Continued by"" journal","* You are taken to that Journal's ToC
* There is no back-link from this journal to your original journal
"

5,,Linking multiple preceeding and succeeding continuations
5.1,admin,"Prepare the following information for the test: 
* The ISSNs of two journals that are in DOAJ
* The ISSNs of two journals that are withdrawn from DOAJ",
5.2,admin,Go to the admin journals search at /admin/journals,
5.3,admin,Select a journal that does not currently have either preceeding or succeeding continuations,
5.4,admin,"Click ""Edit the journal""",
5.5,admin,"Expand the ""Continuations"" section",
5.6,admin,"In the box ""Continues an older journal with the ISSN(s)"" enter one of the pre-chosen ISSNs for a journal in DOAJ and one that is withdrawn from DOAJ",
5.7,admin,"In the box ""This journal is continued by"" enter the other pre-chosen ISSNs for a journal in DOAJ and one that is withdrawn from DOAJ",
5.8,admin,"Click ""SAVE"" on the application form","* The changes you made have been recorded
"
5.9,admin,"Visit the ToC for the journal you have just updated (which can be done quickly by replacing ""/admin/journal"" in the URL with ""/toc""","* Under ""Continues"" there are two journals listed.  One of them is linked, the other says ""(not available in DOAJ)""
* Under ""Continued by"" there are two journals listed.  One of them is linked, the other says ""(not available in DOAJ)""
* Those that are not available in DOAJ are also listed with their ISSN
"

